lemma	pos	num_instances	instances
smile	n	2	('sval3+++d002.s016', ['smile%1:10:00::'], "I felt the temblor begin and glanced at the table next to mine , smiled that guilty ##smile## and we both mouthed the words , `` Earth-quake ! '' together .")	('sval3+++d002.s016', ['smile%2:32:00::'], "I felt the temblor begin and glanced at the table next to mine , ##smiled## that guilty smile and we both mouthed the words , `` Earth-quake ! '' together .")
be	v	2	('sval3+++d002.s011', ['be%2:42:03::'], "JCKC : Wow ! I was in the avenues , on the third floor of an old building , and except for my heart -LRB- Beat , BEAT ! -RRB- I ##'m## OK .")	('sval3+++d002.s011', ['be%2:42:05::'], "JCKC : Wow ! I ##was## in the avenues , on the third floor of an old building , and except for my heart -LRB- Beat , BEAT ! -RRB- I 'm OK .")
be	v	2	('sval3+++d002.s080', ['be%2:42:06::'], "MACPOST : Downtown Bolinas seems to ##be## the part of town that 's worst off .")	('sval3+++d002.s080', ['be%2:42:03::'], "MACPOST : Downtown Bolinas seems to be the part of town that ##'s## worst off .")
be	v	2	('sval3+++d001.s031', ['be%2:42:03::'], 'Since local benefit-seeking matters more and national policy making matters less in the lower chamber of Congress , this is precisely the pattern one would expect if Republicans ##are## less willing to engage in local benefit-seeking than their Democratic counterparts .')	('sval3+++d001.s031', ['be%2:42:06::'], 'Since local benefit-seeking matters more and national policy making matters less in the lower chamber of Congress , this ##is## precisely the pattern one would expect if Republicans are less willing to engage in local benefit-seeking than their Democratic counterparts .')
english	a	2	('sval2+++d00.s00', ['english%3:01:00::'], 'The art of change-ringing is peculiar to the English , and , like most ##English## peculiarities , unintelligible to the rest of the world .')	('sval2+++d00.s00', ['english%1:18:00::'], 'The art of change-ringing is peculiar to the ##English## , and , like most English peculiarities , unintelligible to the rest of the world .')
smile	v	2	('sval3+++d000.s106', ['smile%2:29:00::'], 'He looked up with bloodshot eyes and beheld the stranger sitting across the table , ##smiling## a secret smile at him , as if they were fellow conspirators .')	('sval3+++d000.s106', ['smile%1:10:00::'], 'He looked up with bloodshot eyes and beheld the stranger sitting across the table , smiling a secret ##smile## at him , as if they were fellow conspirators .')
be	v	3	('sval3+++d002.s124', ['be%2:42:05::'], 'Not one thing in the house ##is## where it is supposed to be , but the structure is fine .')	('sval3+++d002.s124', ['be%2:42:03::'], 'Not one thing in the house is where it is supposed to be , but the structure ##is## fine .')	('sval3+++d002.s124', ['be%2:42:05::'], 'Not one thing in the house is where it is supposed to ##be## , but the structure is fine .')
get	v	2	('sval3+++d002.s120', ['get%2:35:03::'], 'We ran into the house to ##get## Mame , but the next tremor threw me in the air and bounced me as I tried to get to my feet .')	('sval3+++d002.s120', ['get%2:30:00::'], 'We ran into the house to get Mame , but the next tremor threw me in the air and bounced me as I tried to ##get## to my feet .')
be	v	2	('sval3+++d000.s097', ['be%2:42:05::'], 'He might be very tight , but he knew where he ##was## .')	('sval3+++d000.s097', ['be%2:42:03::'], 'He might ##be## very tight , but he knew where he was .')
be	v	2	('sval3+++d002.s007', ['be%2:42:07::'], 'The time ##is## Pacific Daylight Time , and the initials or nicknames are those subscribers use to identify themselves .')	('sval3+++d002.s007', ['be%2:42:06::'], 'The time is Pacific Daylight Time , and the initials or nicknames ##are## those subscribers use to identify themselves .')
benefit	n	2	('sval3+++d001.s016', ['benefit%1:21:00::'], "Although a GOP president may limit local benefits to the voter 's particular district/state , such a president is also likely to be more effective at preventing other districts/states and their legislators from bringing_home the local ##benefits## .")	('sval3+++d001.s016', ['benefit%1:07:00::'], "Although a GOP president may limit local ##benefits## to the voter 's particular district/state , such a president is also likely to be more effective at preventing other districts/states and their legislators from bringing_home the local benefits .")
vote	v	2	('sval3+++d001.s010', ['vote%2:41:13::'], '2 -RRB- Congressional representatives have two basic responsibilities while ##voting## in office -- dealing with national issues -LRB- programmatic actions such_as casting roll_call votes on legislation that imposes costs and\\/or confers benefits on the population at_large -RRB- and attending to local issues -LRB- constituency service and pork_barrel -RRB- .')	('sval3+++d001.s010', ['vote%1:04:00::'], '2 -RRB- Congressional representatives have two basic responsibilities while voting in office -- dealing with national issues -LRB- programmatic actions such_as casting roll_call ##votes## on legislation that imposes costs and\\/or confers benefits on the population at_large -RRB- and attending to local issues -LRB- constituency service and pork_barrel -RRB- .')
be	v	2	('sval3+++d000.s098', ['be%2:42:06::'], 'It ##was## the same bar , and it was two weeks later -- Saturday night , when he had an excuse to drink heavier than usual .')	('sval3+++d000.s098', ['be%2:42:04::'], 'It was the same bar , and it ##was## two weeks later -- Saturday night , when he had an excuse to drink heavier than usual .')
